merit_mean,merit_max,not_frac,nand_frac,and_frac,ornot_frac,andnot_frac,or_frac,nor_frac,xor_frac,equ_frac,true_frac,false_frac,is_frac,dominant_genome
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[50]rucavccccccccccccccccccccccccccccccccccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[49]rucavcccccccccmccccccccccccccscccckcccccutycasvab"
1,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.2,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.181818,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.181818,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.181818,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.166667,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.166667,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.166667,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.142857,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.142857,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.142857,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.133333,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.133333,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.133333,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.117647,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.105263,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
